name,category_id,remains,rating,description,price
Adidas 990v5,3,119,4.26,"Adidas 990v5 sneakers, designed for fashion performance and style.",77.96
Reebok Disruptor,5,123,4.66,"Reebok Disruptor sneakers, designed for tennis performance and style.",147.97
Jordan Retro 1,1,16,4.7,"Jordan Retro 1 sneakers, designed for basketball performance and style.",145.7
Fila Gel-Lyte,4,82,4.96,"Fila Gel-Lyte sneakers, designed for running performance and style.",77.54
Jordan Yeezy Boost,1,7,4.15,"Jordan Yeezy Boost sneakers, designed for basketball performance and style.",102.05
Dior Triple S,2,197,4.88,"Dior Triple S sneakers, designed for lifestyle performance and style.",239.54
Asics Triple S,4,66,3.71,"Asics Triple S sneakers, designed for running performance and style.",130.46
MSCHF Chuck 70,1,13,4.19,"MSCHF Chuck 70 sneakers, designed for basketball performance and style.",191.13
MSCHF 990v5,5,1,4.78,"MSCHF 990v5 sneakers, designed for tennis performance and style.",272.56
Jordan Classic Leather,1,140,4.03,"Jordan Classic Leather sneakers, designed for basketball performance and style.",388.49
New Balance Powerframe,2,166,3.18,"New Balance Powerframe sneakers, designed for lifestyle performance and style.",310.01
Puma Zoom Pegasus,4,107,3.03,"Puma Zoom Pegasus sneakers, designed for running performance and style.",99.4
New Balance Yeezy Boost,6,75,3.91,"New Balance Yeezy Boost sneakers, designed for other performance and style.",299.11
Fila React Infinity,1,146,3.12,"Fila React Infinity sneakers, designed for basketball performance and style.",173.42
New Balance Disruptor,6,155,3.05,"New Balance Disruptor sneakers, designed for other performance and style.",357.93
Louis Vuitton Gel-Lyte,5,120,4.13,"Louis Vuitton Gel-Lyte sneakers, designed for tennis performance and style.",341.3
Converse RS-X,4,20,4.63,"Converse RS-X sneakers, designed for running performance and style.",415.96
Louis Vuitton Disruptor,4,39,3.84,"Louis Vuitton Disruptor sneakers, designed for running performance and style.",480.91
Asics Powerframe,4,50,4.23,"Asics Powerframe sneakers, designed for running performance and style.",272.06
Lanvin React Infinity,5,199,4.61,"Lanvin React Infinity sneakers, designed for tennis performance and style.",361.33
Louis Vuitton Triple S,6,16,3.26,"Louis Vuitton Triple S sneakers, designed for other performance and style.",227.29
Asics Classic Leather,2,10,4.8,"Asics Classic Leather sneakers, designed for lifestyle performance and style.",215.99
Yeezy Chuck 70,1,153,3.04,"Yeezy Chuck 70 sneakers, designed for basketball performance and style.",227.28
Puma Yeezy Boost,3,18,3.37,"Puma Yeezy Boost sneakers, designed for fashion performance and style.",106.55
Lanvin RS-Dreamer,6,63,4.79,"Lanvin RS-Dreamer sneakers, designed for other performance and style.",225.64
Lanvin Classic Leather,6,184,3.5,"Lanvin Classic Leather sneakers, designed for other performance and style.",327.22
Asics Disruptor,4,34,3.56,"Asics Disruptor sneakers, designed for running performance and style.",278.64
Lanvin Triple S,3,169,3.0,"Lanvin Triple S sneakers, designed for fashion performance and style.",66.58
Yeezy Chuck 70,5,161,4.63,"Yeezy Chuck 70 sneakers, designed for tennis performance and style.",163.25
Asics Dunk,6,48,3.29,"Asics Dunk sneakers, designed for other performance and style.",82.9
Asics RS-Dreamer,2,178,3.29,"Asics RS-Dreamer sneakers, designed for lifestyle performance and style.",334.58
Adidas Triple S,3,139,4.13,"Adidas Triple S sneakers, designed for fashion performance and style.",235.79
MSCHF RS-X,1,38,3.57,"MSCHF RS-X sneakers, designed for basketball performance and style.",493.38
MSCHF Retro 1,3,58,3.55,"MSCHF Retro 1 sneakers, designed for fashion performance and style.",222.03
MSCHF RS-X,4,124,4.5,"MSCHF RS-X sneakers, designed for running performance and style.",243.97
Jordan Dunk,4,51,4.93,"Jordan Dunk sneakers, designed for running performance and style.",331.02
Nike Speedrunner,4,25,4.66,"Nike Speedrunner sneakers, designed for running performance and style.",401.8
Nike Triple S,4,166,4.46,"Nike Triple S sneakers, designed for running performance and style.",322.67
Dior Disruptor,6,153,3.86,"Dior Disruptor sneakers, designed for other performance and style.",76.6
Louis Vuitton Classic Leather,4,112,3.1,"Louis Vuitton Classic Leather sneakers, designed for running performance and style.",185.5
Asics Speedrunner,6,28,4.47,"Asics Speedrunner sneakers, designed for other performance and style.",89.05
Adidas Yeezy Boost,4,62,3.34,"Adidas Yeezy Boost sneakers, designed for running performance and style.",276.27
Fila Classic Leather,3,88,3.87,"Fila Classic Leather sneakers, designed for fashion performance and style.",263.39
Louis Vuitton RS-X,3,152,4.41,"Louis Vuitton RS-X sneakers, designed for fashion performance and style.",492.61
New Balance Retro 1,1,110,3.75,"New Balance Retro 1 sneakers, designed for basketball performance and style.",454.96
New Balance Chuck 70,3,136,4.21,"New Balance Chuck 70 sneakers, designed for fashion performance and style.",126.4
Jordan Chuck 70,6,69,3.65,"Jordan Chuck 70 sneakers, designed for other performance and style.",192.13
Louis Vuitton Zoom Pegasus,2,187,4.29,"Louis Vuitton Zoom Pegasus sneakers, designed for lifestyle performance and style.",260.3
Lanvin Chuck 70,1,131,3.11,"Lanvin Chuck 70 sneakers, designed for basketball performance and style.",274.8
Puma Triple S,4,145,3.52,"Puma Triple S sneakers, designed for running performance and style.",149.08
Reebok React Infinity,4,70,4.72,"Reebok React Infinity sneakers, designed for running performance and style.",235.37
Adidas 990v5,5,183,4.03,"Adidas 990v5 sneakers, designed for tennis performance and style.",86.88
Yeezy Classic Leather,4,2,4.85,"Yeezy Classic Leather sneakers, designed for running performance and style.",126.52
Yeezy Air Max,4,176,4.52,"Yeezy Air Max sneakers, designed for running performance and style.",212.61
Jordan RS-X,2,67,4.28,"Jordan RS-X sneakers, designed for lifestyle performance and style.",155.02
Fila Disruptor,1,137,3.47,"Fila Disruptor sneakers, designed for basketball performance and style.",52.41
Dior Yeezy Boost,3,135,3.3,"Dior Yeezy Boost sneakers, designed for fashion performance and style.",87.75
Converse RS-X,3,107,4.73,"Converse RS-X sneakers, designed for fashion performance and style.",231.78
Fila Dunk,1,102,3.55,"Fila Dunk sneakers, designed for basketball performance and style.",204.21
Fila RS-X,2,103,4.18,"Fila RS-X sneakers, designed for lifestyle performance and style.",76.23
Lanvin 990v5,4,3,4.42,"Lanvin 990v5 sneakers, designed for running performance and style.",170.67
Nike Chuck 70,2,87,3.39,"Nike Chuck 70 sneakers, designed for lifestyle performance and style.",125.52
Puma Disruptor,5,15,4.23,"Puma Disruptor sneakers, designed for tennis performance and style.",485.63
Converse Chuck 70,5,106,3.76,"Converse Chuck 70 sneakers, designed for tennis performance and style.",306.49
Yeezy Dunk,3,180,4.88,"Yeezy Dunk sneakers, designed for fashion performance and style.",138.15
MSCHF Gel-Lyte,1,169,4.98,"MSCHF Gel-Lyte sneakers, designed for basketball performance and style.",135.31
New Balance Gel-Lyte,1,80,4.42,"New Balance Gel-Lyte sneakers, designed for basketball performance and style.",358.01
MSCHF 990v5,1,187,3.24,"MSCHF 990v5 sneakers, designed for basketball performance and style.",400.11
Adidas RS-Dreamer,6,186,4.58,"Adidas RS-Dreamer sneakers, designed for other performance and style.",86.57
Jordan Zoom Pegasus,2,20,3.84,"Jordan Zoom Pegasus sneakers, designed for lifestyle performance and style.",101.48
Lanvin Powerframe,1,102,3.17,"Lanvin Powerframe sneakers, designed for basketball performance and style.",128.27
Converse RS-Dreamer,3,184,4.39,"Converse RS-Dreamer sneakers, designed for fashion performance and style.",471.89
Lanvin Zoom Pegasus,5,69,4.1,"Lanvin Zoom Pegasus sneakers, designed for tennis performance and style.",119.53
Dior Yeezy Boost,2,41,3.87,"Dior Yeezy Boost sneakers, designed for lifestyle performance and style.",372.22
Yeezy Disruptor,5,185,3.55,"Yeezy Disruptor sneakers, designed for tennis performance and style.",113.95
Converse Dunk,5,75,3.53,"Converse Dunk sneakers, designed for tennis performance and style.",56.22
Fila 990v5,6,180,4.99,"Fila 990v5 sneakers, designed for other performance and style.",458.17
New Balance Classic Leather,2,131,3.88,"New Balance Classic Leather sneakers, designed for lifestyle performance and style.",180.95
Dior Yeezy Boost,5,79,4.14,"Dior Yeezy Boost sneakers, designed for tennis performance and style.",263.11
Dior Triple S,4,147,3.41,"Dior Triple S sneakers, designed for running performance and style.",384.85
Asics Retro 1,2,33,4.85,"Asics Retro 1 sneakers, designed for lifestyle performance and style.",248.88
New Balance Triple S,5,177,3.92,"New Balance Triple S sneakers, designed for tennis performance and style.",437.49
Converse RS-X,3,19,3.27,"Converse RS-X sneakers, designed for fashion performance and style.",185.6
MSCHF Gel-Lyte,6,30,4.36,"MSCHF Gel-Lyte sneakers, designed for other performance and style.",375.75
New Balance Speedrunner,4,47,4.06,"New Balance Speedrunner sneakers, designed for running performance and style.",256.32
Reebok React Infinity,6,170,4.04,"Reebok React Infinity sneakers, designed for other performance and style.",297.39
Adidas Zoom Pegasus,5,112,4.26,"Adidas Zoom Pegasus sneakers, designed for tennis performance and style.",92.84
Asics Powerframe,3,159,4.82,"Asics Powerframe sneakers, designed for fashion performance and style.",376.25
Nike Disruptor,2,166,3.89,"Nike Disruptor sneakers, designed for lifestyle performance and style.",343.35
Dior React Infinity,3,148,3.97,"Dior React Infinity sneakers, designed for fashion performance and style.",215.28
Jordan Zoom Pegasus,2,104,3.58,"Jordan Zoom Pegasus sneakers, designed for lifestyle performance and style.",281.53
Converse Disruptor,2,59,3.15,"Converse Disruptor sneakers, designed for lifestyle performance and style.",384.52
Lanvin Classic Leather,4,180,3.38,"Lanvin Classic Leather sneakers, designed for running performance and style.",327.8
Louis Vuitton Gel-Lyte,3,140,4.54,"Louis Vuitton Gel-Lyte sneakers, designed for fashion performance and style.",207.04
Lanvin Zoom Pegasus,2,113,4.06,"Lanvin Zoom Pegasus sneakers, designed for lifestyle performance and style.",479.5
Puma Triple S,3,22,4.78,"Puma Triple S sneakers, designed for fashion performance and style.",265.56
Reebok Air Max,4,197,4.88,"Reebok Air Max sneakers, designed for running performance and style.",313.77
Louis Vuitton Dunk,5,55,4.54,"Louis Vuitton Dunk sneakers, designed for tennis performance and style.",375.25
Converse Powerframe,4,118,3.65,"Converse Powerframe sneakers, designed for running performance and style.",347.15
Dior Retro 1,3,172,3.1,"Dior Retro 1 sneakers, designed for fashion performance and style.",403.73
Asics Classic Leather,5,189,4.85,"Asics Classic Leather sneakers, designed for tennis performance and style.",342.85
Fila RS-X,5,8,3.67,"Fila RS-X sneakers, designed for tennis performance and style.",133.79
Jordan Dunk,6,69,4.51,"Jordan Dunk sneakers, designed for other performance and style.",420.0
Jordan Zoom Pegasus,1,182,3.69,"Jordan Zoom Pegasus sneakers, designed for basketball performance and style.",345.31
Converse Air Max,3,109,4.58,"Converse Air Max sneakers, designed for fashion performance and style.",119.71
MSCHF Triple S,3,164,4.37,"MSCHF Triple S sneakers, designed for fashion performance and style.",273.95
MSCHF Classic Leather,5,71,3.83,"MSCHF Classic Leather sneakers, designed for tennis performance and style.",65.79
Yeezy Triple S,4,133,4.06,"Yeezy Triple S sneakers, designed for running performance and style.",193.7
Puma Yeezy Boost,4,43,4.92,"Puma Yeezy Boost sneakers, designed for running performance and style.",425.54
Jordan Yeezy Boost,6,82,4.66,"Jordan Yeezy Boost sneakers, designed for other performance and style.",264.13
Reebok Air Max,4,200,4.26,"Reebok Air Max sneakers, designed for running performance and style.",289.2
Fila Air Max,2,53,4.04,"Fila Air Max sneakers, designed for lifestyle performance and style.",70.04
Dior RS-X,6,143,3.06,"Dior RS-X sneakers, designed for other performance and style.",85.99
Puma Powerframe,2,140,3.09,"Puma Powerframe sneakers, designed for lifestyle performance and style.",217.41
Yeezy RS-Dreamer,1,103,3.2,"Yeezy RS-Dreamer sneakers, designed for basketball performance and style.",94.0
Reebok Triple S,2,88,4.68,"Reebok Triple S sneakers, designed for lifestyle performance and style.",487.79
Fila Disruptor,5,100,4.99,"Fila Disruptor sneakers, designed for tennis performance and style.",433.12
Lanvin Triple S,4,175,4.48,"Lanvin Triple S sneakers, designed for running performance and style.",261.68
Yeezy Yeezy Boost,2,25,3.35,"Yeezy Yeezy Boost sneakers, designed for lifestyle performance and style.",228.11
Dior Disruptor,1,140,3.56,"Dior Disruptor sneakers, designed for basketball performance and style.",460.84
Fila Retro 1,4,53,4.56,"Fila Retro 1 sneakers, designed for running performance and style.",338.77
New Balance RS-Dreamer,1,0,4.12,"New Balance RS-Dreamer sneakers, designed for basketball performance and style.",81.23
Lanvin Dunk,4,190,3.87,"Lanvin Dunk sneakers, designed for running performance and style.",149.29
Fila RS-X,2,104,4.55,"Fila RS-X sneakers, designed for lifestyle performance and style.",293.5
MSCHF Disruptor,3,159,4.87,"MSCHF Disruptor sneakers, designed for fashion performance and style.",453.44
Lanvin Gel-Lyte,4,143,4.03,"Lanvin Gel-Lyte sneakers, designed for running performance and style.",278.83
Puma Zoom Pegasus,4,168,3.42,"Puma Zoom Pegasus sneakers, designed for running performance and style.",201.15
Lanvin Chuck 70,3,102,3.86,"Lanvin Chuck 70 sneakers, designed for fashion performance and style.",484.17
Nike RS-X,2,4,4.05,"Nike RS-X sneakers, designed for lifestyle performance and style.",380.18
MSCHF RS-Dreamer,3,23,4.62,"MSCHF RS-Dreamer sneakers, designed for fashion performance and style.",291.78
Dior Air Max,1,140,3.08,"Dior Air Max sneakers, designed for basketball performance and style.",369.87
Converse Retro 1,6,160,4.19,"Converse Retro 1 sneakers, designed for other performance and style.",345.82
Adidas Speedrunner,6,1,3.57,"Adidas Speedrunner sneakers, designed for other performance and style.",162.88
Nike Speedrunner,1,177,3.14,"Nike Speedrunner sneakers, designed for basketball performance and style.",312.38
Reebok Gel-Lyte,5,182,3.6,"Reebok Gel-Lyte sneakers, designed for tennis performance and style.",486.71
Yeezy Gel-Lyte,6,41,4.17,"Yeezy Gel-Lyte sneakers, designed for other performance and style.",57.78
Converse Yeezy Boost,5,6,4.31,"Converse Yeezy Boost sneakers, designed for tennis performance and style.",448.97
Jordan Chuck 70,5,9,3.77,"Jordan Chuck 70 sneakers, designed for tennis performance and style.",86.07
Nike RS-Dreamer,3,186,4.63,"Nike RS-Dreamer sneakers, designed for fashion performance and style.",461.37
Asics Disruptor,2,32,4.82,"Asics Disruptor sneakers, designed for lifestyle performance and style.",479.28
MSCHF Yeezy Boost,2,20,3.03,"MSCHF Yeezy Boost sneakers, designed for lifestyle performance and style.",497.1
Reebok Classic Leather,4,196,3.27,"Reebok Classic Leather sneakers, designed for running performance and style.",491.62
Dior Zoom Pegasus,3,172,3.85,"Dior Zoom Pegasus sneakers, designed for fashion performance and style.",130.62
Converse 990v5,4,76,3.41,"Converse 990v5 sneakers, designed for running performance and style.",385.77
New Balance Chuck 70,6,69,4.82,"New Balance Chuck 70 sneakers, designed for other performance and style.",312.37
Dior Powerframe,5,74,3.16,"Dior Powerframe sneakers, designed for tennis performance and style.",360.62
Louis Vuitton RS-Dreamer,3,120,4.91,"Louis Vuitton RS-Dreamer sneakers, designed for fashion performance and style.",87.47
Yeezy Powerframe,6,154,3.35,"Yeezy Powerframe sneakers, designed for other performance and style.",292.05
New Balance Powerframe,6,131,3.78,"New Balance Powerframe sneakers, designed for other performance and style.",471.05
Jordan Air Max,3,139,3.32,"Jordan Air Max sneakers, designed for fashion performance and style.",461.78
Lanvin Speedrunner,2,14,4.85,"Lanvin Speedrunner sneakers, designed for lifestyle performance and style.",296.1
Converse Zoom Pegasus,3,31,4.46,"Converse Zoom Pegasus sneakers, designed for fashion performance and style.",290.19
Adidas Classic Leather,3,17,4.01,"Adidas Classic Leather sneakers, designed for fashion performance and style.",493.11
Converse Chuck 70,4,119,4.76,"Converse Chuck 70 sneakers, designed for running performance and style.",298.86
Puma React Infinity,4,84,4.37,"Puma React Infinity sneakers, designed for running performance and style.",290.5
Lanvin RS-Dreamer,3,143,3.1,"Lanvin RS-Dreamer sneakers, designed for fashion performance and style.",67.6
Yeezy Triple S,1,113,3.76,"Yeezy Triple S sneakers, designed for basketball performance and style.",408.76
Jordan Disruptor,1,13,4.28,"Jordan Disruptor sneakers, designed for basketball performance and style.",207.12
New Balance Classic Leather,2,137,4.71,"New Balance Classic Leather sneakers, designed for lifestyle performance and style.",253.99
MSCHF Dunk,1,171,3.16,"MSCHF Dunk sneakers, designed for basketball performance and style.",87.26
Converse Gel-Lyte,4,52,3.59,"Converse Gel-Lyte sneakers, designed for running performance and style.",226.18
Lanvin Powerframe,5,170,4.67,"Lanvin Powerframe sneakers, designed for tennis performance and style.",488.43
New Balance Dunk,1,132,4.45,"New Balance Dunk sneakers, designed for basketball performance and style.",298.97
Puma Gel-Lyte,6,82,3.05,"Puma Gel-Lyte sneakers, designed for other performance and style.",300.34
Puma Air Max,3,118,3.12,"Puma Air Max sneakers, designed for fashion performance and style.",443.12
Jordan Speedrunner,1,130,4.08,"Jordan Speedrunner sneakers, designed for basketball performance and style.",126.29
Louis Vuitton Retro 1,1,111,4.09,"Louis Vuitton Retro 1 sneakers, designed for basketball performance and style.",212.18
Louis Vuitton Retro 1,2,93,3.19,"Louis Vuitton Retro 1 sneakers, designed for lifestyle performance and style.",252.31
Jordan 990v5,2,183,3.88,"Jordan 990v5 sneakers, designed for lifestyle performance and style.",351.52
MSCHF Zoom Pegasus,6,15,4.9,"MSCHF Zoom Pegasus sneakers, designed for other performance and style.",454.07
Fila RS-Dreamer,6,87,4.81,"Fila RS-Dreamer sneakers, designed for other performance and style.",76.99
Jordan Retro 1,2,9,3.57,"Jordan Retro 1 sneakers, designed for lifestyle performance and style.",123.58
Yeezy Classic Leather,4,2,4.34,"Yeezy Classic Leather sneakers, designed for running performance and style.",285.94
MSCHF Classic Leather,5,67,4.53,"MSCHF Classic Leather sneakers, designed for tennis performance and style.",278.02
Fila Yeezy Boost,1,63,4.06,"Fila Yeezy Boost sneakers, designed for basketball performance and style.",381.35
Jordan Chuck 70,5,104,4.46,"Jordan Chuck 70 sneakers, designed for tennis performance and style.",466.57
MSCHF Powerframe,3,114,4.42,"MSCHF Powerframe sneakers, designed for fashion performance and style.",493.1
Louis Vuitton RS-Dreamer,2,14,4.87,"Louis Vuitton RS-Dreamer sneakers, designed for lifestyle performance and style.",200.12
Nike Retro 1,6,75,3.09,"Nike Retro 1 sneakers, designed for other performance and style.",271.5
Yeezy Powerframe,1,65,4.68,"Yeezy Powerframe sneakers, designed for basketball performance and style.",337.1
Jordan Powerframe,3,90,4.5,"Jordan Powerframe sneakers, designed for fashion performance and style.",319.15
Lanvin Powerframe,4,150,3.37,"Lanvin Powerframe sneakers, designed for running performance and style.",361.79
Yeezy Retro 1,1,130,3.73,"Yeezy Retro 1 sneakers, designed for basketball performance and style.",170.37
Nike Speedrunner,2,104,4.08,"Nike Speedrunner sneakers, designed for lifestyle performance and style.",305.67
MSCHF Air Max,6,161,4.76,"MSCHF Air Max sneakers, designed for other performance and style.",51.78
Nike Gel-Lyte,1,190,4.06,"Nike Gel-Lyte sneakers, designed for basketball performance and style.",99.08
Adidas Gel-Lyte,3,6,3.99,"Adidas Gel-Lyte sneakers, designed for fashion performance and style.",268.22
Asics Triple S,2,144,4.6,"Asics Triple S sneakers, designed for lifestyle performance and style.",291.71
Dior Yeezy Boost,1,48,3.13,"Dior Yeezy Boost sneakers, designed for basketball performance and style.",187.92
Dior Gel-Lyte,2,26,4.44,"Dior Gel-Lyte sneakers, designed for lifestyle performance and style.",108.77
Dior Triple S,5,34,4.58,"Dior Triple S sneakers, designed for tennis performance and style.",338.03
Nike Air Max,1,0,3.71,"Nike Air Max sneakers, designed for basketball performance and style.",446.31
New Balance Retro 1,4,168,4.4,"New Balance Retro 1 sneakers, designed for running performance and style.",233.46
Fila Powerframe,4,143,3.66,"Fila Powerframe sneakers, designed for running performance and style.",189.77
Dior RS-X,4,167,3.45,"Dior RS-X sneakers, designed for running performance and style.",85.28
Asics Retro 1,2,57,3.03,"Asics Retro 1 sneakers, designed for lifestyle performance and style.",178.66
Adidas Speedrunner,5,68,3.48,"Adidas Speedrunner sneakers, designed for tennis performance and style.",110.54
Reebok Retro 1,3,125,3.69,"Reebok Retro 1 sneakers, designed for fashion performance and style.",135.47
Asics Powerframe,6,121,3.79,"Asics Powerframe sneakers, designed for other performance and style.",435.14
Dior Air Max,6,180,4.25,"Dior Air Max sneakers, designed for other performance and style.",97.95
Lanvin Dunk,5,165,4.22,"Lanvin Dunk sneakers, designed for tennis performance and style.",403.49
New Balance React Infinity,3,100,3.88,"New Balance React Infinity sneakers, designed for fashion performance and style.",136.31
New Balance Disruptor,4,127,3.3,"New Balance Disruptor sneakers, designed for running performance and style.",282.15
Converse Disruptor,4,14,3.67,"Converse Disruptor sneakers, designed for running performance and style.",275.35
Louis Vuitton RS-Dreamer,4,87,3.66,"Louis Vuitton RS-Dreamer sneakers, designed for running performance and style.",360.98
Lanvin Powerframe,1,78,4.15,"Lanvin Powerframe sneakers, designed for basketball performance and style.",426.79
Puma Chuck 70,5,41,4.78,"Puma Chuck 70 sneakers, designed for tennis performance and style.",432.2
Reebok Classic Leather,6,11,3.47,"Reebok Classic Leather sneakers, designed for other performance and style.",116.55
New Balance Zoom Pegasus,4,168,3.25,"New Balance Zoom Pegasus sneakers, designed for running performance and style.",400.26
Fila Dunk,4,39,4.27,"Fila Dunk sneakers, designed for running performance and style.",328.01
Dior Dunk,5,49,3.5,"Dior Dunk sneakers, designed for tennis performance and style.",227.43
Converse Yeezy Boost,4,105,4.48,"Converse Yeezy Boost sneakers, designed for running performance and style.",156.46
Louis Vuitton Dunk,6,43,4.03,"Louis Vuitton Dunk sneakers, designed for other performance and style.",418.71
Fila Chuck 70,6,54,3.44,"Fila Chuck 70 sneakers, designed for other performance and style.",388.07
Dior Zoom Pegasus,2,84,3.89,"Dior Zoom Pegasus sneakers, designed for lifestyle performance and style.",463.16
Fila Zoom Pegasus,1,199,4.48,"Fila Zoom Pegasus sneakers, designed for basketball performance and style.",230.97
Adidas RS-X,4,105,4.22,"Adidas RS-X sneakers, designed for running performance and style.",82.21
Converse Classic Leather,6,158,3.99,"Converse Classic Leather sneakers, designed for other performance and style.",402.68
MSCHF Zoom Pegasus,6,97,3.31,"MSCHF Zoom Pegasus sneakers, designed for other performance and style.",264.52
MSCHF RS-X,4,158,3.31,"MSCHF RS-X sneakers, designed for running performance and style.",217.29
Yeezy React Infinity,3,95,4.81,"Yeezy React Infinity sneakers, designed for fashion performance and style.",237.94
Fila Speedrunner,2,169,3.96,"Fila Speedrunner sneakers, designed for lifestyle performance and style.",381.12
Yeezy Triple S,3,116,3.94,"Yeezy Triple S sneakers, designed for fashion performance and style.",54.88
Lanvin 990v5,5,173,4.19,"Lanvin 990v5 sneakers, designed for tennis performance and style.",50.71
Lanvin Retro 1,5,73,3.38,"Lanvin Retro 1 sneakers, designed for tennis performance and style.",378.98
Asics Powerframe,4,0,4.28,"Asics Powerframe sneakers, designed for running performance and style.",391.57
MSCHF Yeezy Boost,5,198,4.01,"MSCHF Yeezy Boost sneakers, designed for tennis performance and style.",70.71
Louis Vuitton Chuck 70,1,26,3.26,"Louis Vuitton Chuck 70 sneakers, designed for basketball performance and style.",246.76
Nike Gel-Lyte,5,8,4.83,"Nike Gel-Lyte sneakers, designed for tennis performance and style.",246.53
Dior React Infinity,5,170,3.91,"Dior React Infinity sneakers, designed for tennis performance and style.",334.21
Puma Speedrunner,5,110,4.27,"Puma Speedrunner sneakers, designed for tennis performance and style.",262.75
New Balance Gel-Lyte,2,114,3.26,"New Balance Gel-Lyte sneakers, designed for lifestyle performance and style.",60.41
Puma React Infinity,2,123,3.96,"Puma React Infinity sneakers, designed for lifestyle performance and style.",279.31
MSCHF Retro 1,3,108,3.99,"MSCHF Retro 1 sneakers, designed for fashion performance and style.",296.77
Asics React Infinity,5,150,4.38,"Asics React Infinity sneakers, designed for tennis performance and style.",111.87
Reebok Speedrunner,1,139,3.1,"Reebok Speedrunner sneakers, designed for basketball performance and style.",77.36
Yeezy RS-Dreamer,6,101,3.64,"Yeezy RS-Dreamer sneakers, designed for other performance and style.",496.74
Yeezy Speedrunner,1,63,3.72,"Yeezy Speedrunner sneakers, designed for basketball performance and style.",400.69
New Balance 990v5,3,102,3.69,"New Balance 990v5 sneakers, designed for fashion performance and style.",300.92
Lanvin Triple S,2,79,4.16,"Lanvin Triple S sneakers, designed for lifestyle performance and style.",71.2
Converse RS-Dreamer,2,178,3.73,"Converse RS-Dreamer sneakers, designed for lifestyle performance and style.",456.8
New Balance Triple S,5,179,3.47,"New Balance Triple S sneakers, designed for tennis performance and style.",204.44
MSCHF Retro 1,3,145,4.61,"MSCHF Retro 1 sneakers, designed for fashion performance and style.",467.7
Louis Vuitton Air Max,3,21,4.48,"Louis Vuitton Air Max sneakers, designed for fashion performance and style.",164.41
Jordan Chuck 70,3,151,4.73,"Jordan Chuck 70 sneakers, designed for fashion performance and style.",180.94
Nike Air Max,2,9,4.93,"Nike Air Max sneakers, designed for lifestyle performance and style.",207.47
